# File: Kalt_2017_elec_cap_gw_ctry.csv
# Title: Kalt et al. 2021 electricity generation capacity in 2017
# Units: GW
# Description: Bottom-up estimate of electricity generation capacity by country in 2017. Source data has historical years 1980-2017
# Source: SI spreadsheet in Kalt et al. 2021 Data in Brief https://doi.org/10.1016/j.dib.2021.107351
# Column types: cccn
# ----------
Technology,Country,Kalt_reg,2017
Nuclear,Iceland,Industrial (Old World),0
Nuclear,India,India,6.26
Nuclear,Indonesia,Rest of Asia,0
Nuclear,Iran,Middle East and Northern Africa ,0.92
Nuclear,Iraq,Middle East and Northern Africa ,0
Nuclear,Ireland,Industrial (Old World),0
Nuclear,Israel,Middle East and Northern Africa ,0
Nuclear,Italy,Industrial (Old World),0
Nuclear,Jamaica,Latin America and the Caribbean,0
Nuclear,Japan,Industrial (Old World),2.04
Nuclear,Jordan,Middle East and Northern Africa ,0
Nuclear,Kazakhstan,Former Soviet Union,0
Nuclear,Kenya,Sub-Saharan Africa,0
Nuclear,Kuwait,Middle East and Northern Africa ,0
Nuclear,Kyrgyzstan,Former Soviet Union,0
Nuclear,Laos,Rest of Asia,0
Nuclear,Latvia,Former Soviet Union,0
Nuclear,Lebanon,Middle East and Northern Africa ,0
Nuclear,Lesotho,Sub-Saharan Africa,0
Nuclear,Liberia,Sub-Saharan Africa,0
Nuclear,Libya,Middle East and Northern Africa ,0
Nuclear,Lithuania,Former Soviet Union,0
Nuclear,Luxembourg,Industrial (Old World),0
Nuclear,"Macedonia, FYR",Industrial (Old World),0
Nuclear,Madagascar,Sub-Saharan Africa,0
Nuclear,Malawi,Sub-Saharan Africa,0
Nuclear,Malaysia,Rest of Asia,0
Nuclear,Maldives,Rest of Asia,0
Nuclear,Mali,Sub-Saharan Africa,0
Nuclear,Malta,Industrial (Old World),0
Nuclear,Martinique,Latin America and the Caribbean,0
Nuclear,Mauritania,Sub-Saharan Africa,0
Nuclear,Mauritius,Sub-Saharan Africa,0
Nuclear,Mexico,Latin America and the Caribbean,1.55
Nuclear,Moldova,Former Soviet Union,0
Nuclear,Mongolia,Rest of Asia,0
Nuclear,Montenegro,Industrial (Old World),0
Nuclear,Morocco,Middle East and Northern Africa ,0
Nuclear,Mozambique,Sub-Saharan Africa,0
Nuclear,Myanmar,Rest of Asia,0
Nuclear,Namibia,Sub-Saharan Africa,0
Nuclear,Nepal,Rest of Asia,0
Nuclear,Netherlands,Industrial (Old World),0.48
Nuclear,New Zealand,Industrial (New World),0
Nuclear,Nicaragua,Latin America and the Caribbean,0
Nuclear,Niger,Sub-Saharan Africa,0
Nuclear,Nigeria,Sub-Saharan Africa,0
Nuclear,North Korea,Rest of Asia,0
Nuclear,Norway,Industrial (Old World),0
Nuclear,Oman,Middle East and Northern Africa ,0
Nuclear,Pakistan,Rest of Asia,1.32
Nuclear,Panama,Latin America and the Caribbean,0
Nuclear,Papua New Guinea,Rest of Asia,0
Nuclear,Paraguay,Latin America and the Caribbean,0
Nuclear,Peru,Latin America and the Caribbean,0
Nuclear,Philippines,Rest of Asia,0
Nuclear,Poland,Industrial (Old World),0
Nuclear,Portugal,Industrial (Old World),0
Nuclear,Puerto Rico,Latin America and the Caribbean,0
Nuclear,Qatar,Middle East and Northern Africa ,0
Nuclear,Réunion,Sub-Saharan Africa,0
Nuclear,Romania,Industrial (Old World),1.3
Nuclear,Russia,Former Soviet Union,26.14
Nuclear,Rwanda,Sub-Saharan Africa,0
Nuclear,Saudi Arabia,Middle East and Northern Africa ,0
Nuclear,Senegal,Sub-Saharan Africa,0
Nuclear,Serbia (incl. Kosovo),Industrial (Old World),0
Nuclear,Sierra Leone,Sub-Saharan Africa,0
Nuclear,Singapore,Rest of Asia,0
Nuclear,Slovakia,Industrial (Old World),1.81
Nuclear,Slovenia,Industrial (Old World),0.69
Nuclear,Solomon Islands,Rest of Asia,0
Nuclear,Somalia,Sub-Saharan Africa,0
Nuclear,South Africa,Sub-Saharan Africa,1.86
Nuclear,South Korea,Industrial (Old World),22.49
Nuclear,South Sudan,Sub-Saharan Africa,0
Nuclear,Spain,Industrial (Old World),7.12
Nuclear,Sri Lanka,Rest of Asia,0
Nuclear,Sudan,Sub-Saharan Africa,0
Nuclear,Suriname,Latin America and the Caribbean,0
Nuclear,Swaziland,Sub-Saharan Africa,0
Nuclear,Sweden,Industrial (Old World),8.63
Nuclear,Switzerland,Industrial (Old World),3.33
Nuclear,Syria,Middle East and Northern Africa ,0
Nuclear,Taiwan,Rest of Asia,5.05
Nuclear,Tajikistan,Former Soviet Union,0
Nuclear,Tanzania,Sub-Saharan Africa,0
Nuclear,Thailand,Rest of Asia,0
Nuclear,The Gambia,Sub-Saharan Africa,0
Nuclear,Timor-Leste,Rest of Asia,0
Nuclear,Togo,Sub-Saharan Africa,0
Nuclear,Trinidad and Tobago,Latin America and the Caribbean,0
Nuclear,Tunisia,Middle East and Northern Africa ,0
Nuclear,Turkey,Industrial (Old World),0
Nuclear,Turkmenistan,Former Soviet Union,0
Nuclear,Uganda,Sub-Saharan Africa,0
Nuclear,Ukraine,Former Soviet Union,13.11
Nuclear,United Arab Emirates,Middle East and Northern Africa ,0
Nuclear,United Kingdom,Industrial (Old World),8.92
Nuclear,United States of America,Industrial (New World),99.63
Nuclear,Uruguay,Latin America and the Caribbean,0
Nuclear,USSR (former),Former Soviet Union,0
Nuclear,Uzbekistan,Former Soviet Union,0
Nuclear,Venezuela,Latin America and the Caribbean,0
Nuclear,Vietnam,Rest of Asia,0
Nuclear,Yemen,Middle East and Northern Africa ,0
Nuclear,Zambia,Sub-Saharan Africa,0
Nuclear,Zimbabwe,Sub-Saharan Africa,0
Hydro - Run-of-river,Afghanistan,Rest of Asia,0.09
Hydro - Run-of-river,Albania,Industrial (Old World),0.15
Hydro - Run-of-river,Algeria,Middle East and Northern Africa ,0.09
Hydro - Run-of-river,Angola,Sub-Saharan Africa,0.77
Hydro - Run-of-river,Argentina,Latin America and the Caribbean,1.05
Hydro - Run-of-river,Armenia,Former Soviet Union,0.42
Hydro - Run-of-river,Australia,Industrial (New World),2.16
Hydro - Run-of-river,Austria,Industrial (Old World),4.29
Hydro - Run-of-river,Azerbaijan,Former Soviet Union,0.02
Hydro - Run-of-river,Bahamas,Latin America and the Caribbean,
Hydro - Run-of-river,Bahrain,Middle East and Northern Africa ,
Hydro - Run-of-river,Bangladesh,Rest of Asia,0.07
Hydro - Run-of-river,Belarus,Former Soviet Union,0.03
Hydro - Run-of-river,Belgium,Industrial (Old World),0.04
Hydro - Run-of-river,Belize,Latin America and the Caribbean,0.05
Hydro - Run-of-river,Benin,Sub-Saharan Africa,0.01
Hydro - Run-of-river,Bhutan,Rest of Asia,1.18
Hydro - Run-of-river,Bolivia,Latin America and the Caribbean,0.5
Hydro - Run-of-river,Bosnia and Herzegovina,Industrial (Old World),0.61
Hydro - Run-of-river,Botswana,Sub-Saharan Africa,
Hydro - Run-of-river,Brazil,Latin America and the Caribbean,20.23
Hydro - Run-of-river,Brunei,Rest of Asia,
Hydro - Run-of-river,Bulgaria,Industrial (Old World),0.95
Hydro - Run-of-river,Burkina Faso,Sub-Saharan Africa,0.01
Hydro - Run-of-river,Burundi,Sub-Saharan Africa,
Hydro - Run-of-river,Cambodia,Rest of Asia,0.43
Hydro - Run-of-river,Cameroon,Sub-Saharan Africa,0.43
Hydro - Run-of-river,Canada,Industrial (New World),29.15
Hydro - Run-of-river,Cape Verde,Sub-Saharan Africa,
Hydro - Run-of-river,Central African Republic,Sub-Saharan Africa,
Hydro - Run-of-river,Chad,Sub-Saharan Africa,
Hydro - Run-of-river,Chile,Latin America and the Caribbean,2.89
Hydro - Run-of-river,China,China,96.06
Hydro - Run-of-river,Colombia,Latin America and the Caribbean,3.76
Hydro - Run-of-river,Comoros,Sub-Saharan Africa,
Hydro - Run-of-river,Congo,Sub-Saharan Africa,
Hydro - Run-of-river,"Congo, DR",Sub-Saharan Africa,1
Hydro - Run-of-river,Costa Rica,Latin America and the Caribbean,0.53
Hydro - Run-of-river,Côte d'Ivoire,Sub-Saharan Africa,0.2
Hydro - Run-of-river,Croatia,Industrial (Old World),0.61
Hydro - Run-of-river,Cuba,Latin America and the Caribbean,
Hydro - Run-of-river,Cyprus,Industrial (Old World),
Hydro - Run-of-river,Czech Republic,Industrial (Old World),0.21
Hydro - Run-of-river,Denmark,Industrial (Old World),0
Hydro - Run-of-river,Djibouti,Middle East and Northern Africa ,
Hydro - Run-of-river,Dominican Republic,Latin America and the Caribbean,0.2
Hydro - Run-of-river,Ecuador,Latin America and the Caribbean,1.54
Hydro - Run-of-river,Egypt,Middle East and Northern Africa ,0.9
Hydro - Run-of-river,El Salvador,Latin America and the Caribbean,0.06
Hydro - Run-of-river,Equatorial Guinea,Sub-Saharan Africa,0.04
Hydro - Run-of-river,Eritrea,Sub-Saharan Africa,
Hydro - Run-of-river,Estonia,Former Soviet Union,0
Hydro - Run-of-river,Ethiopia,Sub-Saharan Africa,1.21
Hydro - Run-of-river,Fiji,Rest of Asia,0.13
Hydro - Run-of-river,Finland,Industrial (Old World),1.05
Hydro - Run-of-river,France,Industrial (Old World),6.11
Hydro - Run-of-river,Gabon,Sub-Saharan Africa,0.1
Hydro - Run-of-river,Georgia,Former Soviet Union,0.99
Hydro - Run-of-river,Germany,Industrial (Old World),2.72
Hydro - Run-of-river,Ghana,Sub-Saharan Africa,0.35
Hydro - Run-of-river,Greece,Industrial (Old World),0.85
Hydro - Run-of-river,Guadeloupe,Latin America and the Caribbean,
Hydro - Run-of-river,Guatemala,Latin America and the Caribbean,1.03
Hydro - Run-of-river,Guinea,Sub-Saharan Africa,0.12
Hydro - Run-of-river,Guinea Bissau,Sub-Saharan Africa,
Hydro - Run-of-river,Guyana,Latin America and the Caribbean,
Hydro - Run-of-river,Haiti,Latin America and the Caribbean,
Hydro - Run-of-river,Honduras,Latin America and the Caribbean,0.28
Hydro - Run-of-river,Hong Kong SAR,Rest of Asia,
Hydro - Run-of-river,Hungary,Industrial (Old World),
Hydro - Run-of-river,Iceland,Industrial (Old World),0.27
Hydro - Run-of-river,India,India,16.34
Hydro - Run-of-river,Indonesia,Rest of Asia,2.14
Hydro - Run-of-river,Iran,Middle East and Northern Africa ,3.36
Hydro - Run-of-river,Iraq,Middle East and Northern Africa ,0.43
Hydro - Run-of-river,Ireland,Industrial (Old World),0.13
Hydro - Run-of-river,Israel,Middle East and Northern Africa ,0
Hydro - Run-of-river,Italy,Industrial (Old World),5.51
Hydro - Run-of-river,Jamaica,Latin America and the Caribbean,0.01
Hydro - Run-of-river,Japan,Industrial (Old World),7.96
Hydro - Run-of-river,Jordan,Middle East and Northern Africa ,0
Hydro - Run-of-river,Kazakhstan,Former Soviet Union,0.87
Hydro - Run-of-river,Kenya,Sub-Saharan Africa,0.21
Hydro - Run-of-river,Kuwait,Middle East and Northern Africa ,
Hydro - Run-of-river,Kyrgyzstan,Former Soviet Union,0.98
Hydro - Run-of-river,Laos,Rest of Asia,0.55
Hydro - Run-of-river,Latvia,Former Soviet Union,1.56
Hydro - Run-of-river,Lebanon,Middle East and Northern Africa ,0.08
Hydro - Run-of-river,Lesotho,Sub-Saharan Africa,
Hydro - Run-of-river,Liberia,Sub-Saharan Africa,
Hydro - Run-of-river,Libya,Middle East and Northern Africa ,
Hydro - Run-of-river,Lithuania,Former Soviet Union,0.04
Hydro - Run-of-river,Luxembourg,Industrial (Old World),
Hydro - Run-of-river,"Macedonia, FYR",Industrial (Old World),0.22
Hydro - Run-of-river,Madagascar,Sub-Saharan Africa,0.09
Hydro - Run-of-river,Malawi,Sub-Saharan Africa,0.37
Hydro - Run-of-river,Malaysia,Rest of Asia,1.95
Hydro - Run-of-river,Maldives,Rest of Asia,
Hydro - Run-of-river,Mali,Sub-Saharan Africa,0
Hydro - Run-of-river,Malta,Industrial (Old World),
Hydro - Run-of-river,Martinique,Latin America and the Caribbean,
Hydro - Run-of-river,Mauritania,Sub-Saharan Africa,
Hydro - Run-of-river,Mauritius,Sub-Saharan Africa,0.01
Hydro - Run-of-river,Mexico,Latin America and the Caribbean,3.69
Hydro - Run-of-river,Moldova,Former Soviet Union,
Hydro - Run-of-river,Mongolia,Rest of Asia,
Hydro - Run-of-river,Montenegro,Industrial (Old World),
Hydro - Run-of-river,Morocco,Middle East and Northern Africa ,0.43
Hydro - Run-of-river,Mozambique,Sub-Saharan Africa,0.7
Hydro - Run-of-river,Myanmar,Rest of Asia,0.78
Hydro - Run-of-river,Namibia,Sub-Saharan Africa,0.11
Hydro - Run-of-river,Nepal,Rest of Asia,0.69
Hydro - Run-of-river,Netherlands,Industrial (Old World),0.01
Hydro - Run-of-river,New Zealand,Industrial (New World),1.94
Hydro - Run-of-river,Nicaragua,Latin America and the Caribbean,0.06
Hydro - Run-of-river,Niger,Sub-Saharan Africa,
Hydro - Run-of-river,Nigeria,Sub-Saharan Africa,0.66
Hydro - Run-of-river,North Korea,Rest of Asia,
Hydro - Run-of-river,Norway,Industrial (Old World),9.5
Hydro - Run-of-river,Oman,Middle East and Northern Africa ,
Hydro - Run-of-river,Pakistan,Rest of Asia,1.71
Hydro - Run-of-river,Panama,Latin America and the Caribbean,0.94
Hydro - Run-of-river,Papua New Guinea,Rest of Asia,0.07
Hydro - Run-of-river,Paraguay,Latin America and the Caribbean,2.29
Hydro - Run-of-river,Peru,Latin America and the Caribbean,2.05
Hydro - Run-of-river,Philippines,Rest of Asia,1.81
Hydro - Run-of-river,Poland,Industrial (Old World),0.18
Hydro - Run-of-river,Portugal,Industrial (Old World),1.52
Hydro - Run-of-river,Puerto Rico,Latin America and the Caribbean,
Hydro - Run-of-river,Qatar,Middle East and Northern Africa ,
Hydro - Run-of-river,Réunion,Sub-Saharan Africa,
Hydro - Run-of-river,Romania,Industrial (Old World),1.39
Hydro - Run-of-river,Russia,Former Soviet Union,14.18
Hydro - Run-of-river,Rwanda,Sub-Saharan Africa,0.08
Hydro - Run-of-river,Saudi Arabia,Middle East and Northern Africa ,
Hydro - Run-of-river,Senegal,Sub-Saharan Africa,
Hydro - Run-of-river,Serbia (incl. Kosovo),Industrial (Old World),0.68
Hydro - Run-of-river,Sierra Leone,Sub-Saharan Africa,0.02
Hydro - Run-of-river,Singapore,Rest of Asia,
Hydro - Run-of-river,Slovakia,Industrial (Old World),0.48
Hydro - Run-of-river,Slovenia,Industrial (Old World),0.56
Hydro - Run-of-river,Solomon Islands,Rest of Asia,
Hydro - Run-of-river,Somalia,Sub-Saharan Africa,
Hydro - Run-of-river,South Africa,Sub-Saharan Africa,0.08
Hydro - Run-of-river,South Korea,Industrial (Old World),0.29
Hydro - Run-of-river,South Sudan,Sub-Saharan Africa,
Hydro - Run-of-river,Spain,Industrial (Old World),2.44
Hydro - Run-of-river,Sri Lanka,Rest of Asia,0.82
Hydro - Run-of-river,Sudan,Sub-Saharan Africa,0.36
Hydro - Run-of-river,Suriname,Latin America and the Caribbean,0.06
Hydro - Run-of-river,Swaziland,Sub-Saharan Africa,0
Hydro - Run-of-river,Sweden,Industrial (Old World),5.2
Hydro - Run-of-river,Switzerland,Industrial (Old World),1.39
Hydro - Run-of-river,Syria,Middle East and Northern Africa ,0.28
Hydro - Run-of-river,Taiwan,Rest of Asia,0.79
Hydro - Run-of-river,Tajikistan,Former Soviet Union,1.65
Hydro - Run-of-river,Tanzania,Sub-Saharan Africa,0.29
Hydro - Run-of-river,Thailand,Rest of Asia,1.25
Hydro - Run-of-river,The Gambia,Sub-Saharan Africa,
Hydro - Run-of-river,Timor-Leste,Rest of Asia,
Hydro - Run-of-river,Togo,Sub-Saharan Africa,
Hydro - Run-of-river,Trinidad and Tobago,Latin America and the Caribbean,
Hydro - Run-of-river,Tunisia,Middle East and Northern Africa ,
Hydro - Run-of-river,Turkey,Industrial (Old World),9
Hydro - Run-of-river,Turkmenistan,Former Soviet Union,
Hydro - Run-of-river,Uganda,Sub-Saharan Africa,0
Hydro - Run-of-river,Ukraine,Former Soviet Union,2.65
Hydro - Run-of-river,United Arab Emirates,Middle East and Northern Africa ,
Hydro - Run-of-river,United Kingdom,Industrial (Old World),0.59
Hydro - Run-of-river,United States of America,Industrial (New World),30.74
Hydro - Run-of-river,Uruguay,Latin America and the Caribbean,0.49
Hydro - Run-of-river,USSR (former),Former Soviet Union,
Hydro - Run-of-river,Uzbekistan,Former Soviet Union,0.58
Hydro - Run-of-river,Venezuela,Latin America and the Caribbean,8.46
Hydro - Run-of-river,Vietnam,Rest of Asia,5.7
Hydro - Run-of-river,Yemen,Middle East and Northern Africa ,
Hydro - Run-of-river,Zambia,Sub-Saharan Africa,0.43
Hydro - Run-of-river,Zimbabwe,Sub-Saharan Africa,0.9
Hydro - Reservoir,Afghanistan,Rest of Asia,0.24
Hydro - Reservoir,Albania,Industrial (Old World),1.87
Hydro - Reservoir,Algeria,Middle East and Northern Africa ,0.19
Hydro - Reservoir,Angola,Sub-Saharan Africa,1.65
Hydro - Reservoir,Argentina,Latin America and the Caribbean,9.26
Hydro - Reservoir,Armenia,Former Soviet Union,0.91
Hydro - Reservoir,Australia,Industrial (New World),3.5
Hydro - Reservoir,Austria,Industrial (Old World),4.21
Hydro - Reservoir,Azerbaijan,Former Soviet Union,1.08
Hydro - Reservoir,Bahamas,Latin America and the Caribbean,
Hydro - Reservoir,Bahrain,Middle East and Northern Africa ,
Hydro - Reservoir,Bangladesh,Rest of Asia,0.16
Hydro - Reservoir,Belarus,Former Soviet Union,0.06
Hydro - Reservoir,Belgium,Industrial (Old World),0.08
Hydro - Reservoir,Belize,Latin America and the Caribbean,0
Hydro - Reservoir,Benin,Sub-Saharan Africa,0.02
Hydro - Reservoir,Bhutan,Rest of Asia,0.44
Hydro - Reservoir,Bolivia,Latin America and the Caribbean,0.11
Hydro - Reservoir,Bosnia and Herzegovina,Industrial (Old World),1.47
Hydro - Reservoir,Botswana,Sub-Saharan Africa,
Hydro - Reservoir,Brazil,Latin America and the Caribbean,80.09
Hydro - Reservoir,Brunei,Rest of Asia,
Hydro - Reservoir,Bulgaria,Industrial (Old World),1.26
Hydro - Reservoir,Burkina Faso,Sub-Saharan Africa,0.02
Hydro - Reservoir,Burundi,Sub-Saharan Africa,
Hydro - Reservoir,Cambodia,Rest of Asia,0.93
Hydro - Reservoir,Cameroon,Sub-Saharan Africa,0.33
Hydro - Reservoir,Canada,Industrial (New World),51.5
Hydro - Reservoir,Cape Verde,Sub-Saharan Africa,
Hydro - Reservoir,Central African Republic,Sub-Saharan Africa,
Hydro - Reservoir,Chad,Sub-Saharan Africa,
Hydro - Reservoir,Chile,Latin America and the Caribbean,3.77
Hydro - Reservoir,China,China,219.22
Hydro - Reservoir,Colombia,Latin America and the Caribbean,7.96
Hydro - Reservoir,Comoros,Sub-Saharan Africa,
Hydro - Reservoir,Congo,Sub-Saharan Africa,
Hydro - Reservoir,"Congo, DR",Sub-Saharan Africa,1.56
Hydro - Reservoir,Costa Rica,Latin America and the Caribbean,1.8
Hydro - Reservoir,Côte d'Ivoire,Sub-Saharan Africa,0.68
Hydro - Reservoir,Croatia,Industrial (Old World),1.31
Hydro - Reservoir,Cuba,Latin America and the Caribbean,
Hydro - Reservoir,Cyprus,Industrial (Old World),
Hydro - Reservoir,Czech Republic,Industrial (Old World),0.89
Hydro - Reservoir,Denmark,Industrial (Old World),0.01
Hydro - Reservoir,Djibouti,Middle East and Northern Africa ,
Hydro - Reservoir,Dominican Republic,Latin America and the Caribbean,0.42
Hydro - Reservoir,Ecuador,Latin America and the Caribbean,2.9
Hydro - Reservoir,Egypt,Middle East and Northern Africa ,1.95
Hydro - Reservoir,El Salvador,Latin America and the Caribbean,0.49
Hydro - Reservoir,Equatorial Guinea,Sub-Saharan Africa,0.09
Hydro - Reservoir,Eritrea,Sub-Saharan Africa,
Hydro - Reservoir,Estonia,Former Soviet Union,0
Hydro - Reservoir,Ethiopia,Sub-Saharan Africa,2.61
Hydro - Reservoir,Fiji,Rest of Asia,0
Hydro - Reservoir,Finland,Industrial (Old World),2.22
Hydro - Reservoir,France,Industrial (Old World),12.45
Hydro - Reservoir,Gabon,Sub-Saharan Africa,0.23
Hydro - Reservoir,Georgia,Former Soviet Union,2.17
Hydro - Reservoir,Germany,Industrial (Old World),1.73
Hydro - Reservoir,Ghana,Sub-Saharan Africa,1.23
Hydro - Reservoir,Greece,Industrial (Old World),1.84
Hydro - Reservoir,Guadeloupe,Latin America and the Caribbean,
Hydro - Reservoir,Guatemala,Latin America and the Caribbean,0.41
Hydro - Reservoir,Guinea,Sub-Saharan Africa,0.25
Hydro - Reservoir,Guinea Bissau,Sub-Saharan Africa,
Hydro - Reservoir,Guyana,Latin America and the Caribbean,
Hydro - Reservoir,Haiti,Latin America and the Caribbean,
Hydro - Reservoir,Honduras,Latin America and the Caribbean,0.39
Hydro - Reservoir,Hong Kong SAR,Rest of Asia,
Hydro - Reservoir,Hungary,Industrial (Old World),
Hydro - Reservoir,Iceland,Industrial (Old World),1.73
Hydro - Reservoir,India,India,24.24
Hydro - Reservoir,Indonesia,Rest of Asia,3.29
Hydro - Reservoir,Iran,Middle East and Northern Africa ,7.54
Hydro - Reservoir,Iraq,Middle East and Northern Africa ,2.08
Hydro - Reservoir,Ireland,Industrial (Old World),0.1
Hydro - Reservoir,Israel,Middle East and Northern Africa ,0
Hydro - Reservoir,Italy,Industrial (Old World),9.6
Hydro - Reservoir,Jamaica,Latin America and the Caribbean,0.02
Hydro - Reservoir,Japan,Industrial (Old World),14.53
Hydro - Reservoir,Jordan,Middle East and Northern Africa ,0.01
Hydro - Reservoir,Kazakhstan,Former Soviet Union,1.86
Hydro - Reservoir,Kenya,Sub-Saharan Africa,0.62
Hydro - Reservoir,Kuwait,Middle East and Northern Africa ,
Hydro - Reservoir,Kyrgyzstan,Former Soviet Union,2.11
Hydro - Reservoir,Laos,Rest of Asia,4.45
Hydro - Reservoir,Latvia,Former Soviet Union,0
Hydro - Reservoir,Lebanon,Middle East and Northern Africa ,0.17
Hydro - Reservoir,Lesotho,Sub-Saharan Africa,
Hydro - Reservoir,Liberia,Sub-Saharan Africa,
Hydro - Reservoir,Libya,Middle East and Northern Africa ,
Hydro - Reservoir,Lithuania,Former Soviet Union,0.08
Hydro - Reservoir,Luxembourg,Industrial (Old World),
Hydro - Reservoir,"Macedonia, FYR",Industrial (Old World),0.46
Hydro - Reservoir,Madagascar,Sub-Saharan Africa,0.07
Hydro - Reservoir,Malawi,Sub-Saharan Africa,0
Hydro - Reservoir,Malaysia,Rest of Asia,4.14
Hydro - Reservoir,Maldives,Rest of Asia,
Hydro - Reservoir,Mali,Sub-Saharan Africa,0.18
Hydro - Reservoir,Malta,Industrial (Old World),
Hydro - Reservoir,Martinique,Latin America and the Caribbean,
Hydro - Reservoir,Mauritania,Sub-Saharan Africa,
Hydro - Reservoir,Mauritius,Sub-Saharan Africa,0.05
Hydro - Reservoir,Mexico,Latin America and the Caribbean,8.94
Hydro - Reservoir,Moldova,Former Soviet Union,
Hydro - Reservoir,Mongolia,Rest of Asia,
Hydro - Reservoir,Montenegro,Industrial (Old World),
Hydro - Reservoir,Morocco,Middle East and Northern Africa ,0.88
Hydro - Reservoir,Mozambique,Sub-Saharan Africa,1.5
Hydro - Reservoir,Myanmar,Rest of Asia,2.47
Hydro - Reservoir,Namibia,Sub-Saharan Africa,0.24
Hydro - Reservoir,Nepal,Rest of Asia,0.25
Hydro - Reservoir,Netherlands,Industrial (Old World),0.03
Hydro - Reservoir,New Zealand,Industrial (New World),3.44
Hydro - Reservoir,Nicaragua,Latin America and the Caribbean,0.08
Hydro - Reservoir,Niger,Sub-Saharan Africa,
Hydro - Reservoir,Nigeria,Sub-Saharan Africa,1.45
Hydro - Reservoir,North Korea,Rest of Asia,
Hydro - Reservoir,Norway,Industrial (Old World),20.88
Hydro - Reservoir,Oman,Middle East and Northern Africa ,
Hydro - Reservoir,Pakistan,Rest of Asia,5.69
Hydro - Reservoir,Panama,Latin America and the Caribbean,0.85
